                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      6,                 2.0183,                 3.0002,                 2.1373,                0.27638,                0.23378,                0.11623,                0.09355,                 2.3775,                 3.8291,                 2.4664,               0.009835,               0.009835,               0.009835
                      7,                 1.9448,                 2.8819,                 2.0595,                0.47308,                0.25086,                 0.2052,                0.17167,                 2.1871,                 3.0928,                 2.2741,               0.009802,               0.009802,               0.009802
                      8,                 1.9036,                 2.7843,                 1.9968,                0.34152,                0.22348,                0.14326,                0.11131,                 2.2551,                 4.3118,                  2.385,               0.009769,               0.009769,               0.009769
                      9,                 1.8722,                 2.7055,                 1.9486,                0.17414,                0.29909,                 0.2261,                0.18299,                 2.1338,                 3.4874,                 2.2966,               0.009736,               0.009736,               0.009736
                     10,                 1.8185,                 2.6489,                 1.8984,                0.25102,                 0.3266,                0.21468,                0.17495,                 2.2443,                 3.3192,                 2.3834,               0.009703,               0.009703,               0.009703
                     11,                 1.7858,                 2.5823,                 1.8707,                0.21902,                0.29774,                0.22005,                0.17607,                 2.1253,                 3.2967,                 2.2058,                0.00967,                0.00967,                0.00967
                     12,                 1.7684,                 2.5413,                 1.8543,                0.37168,                0.32817,                0.30811,                 0.2647,                 1.9825,                 2.7245,                 2.1009,               0.009637,               0.009637,               0.009637
                     13,                 1.7565,                 2.5009,                 1.8373,                0.35374,                0.39058,                0.36094,                0.30625,                 1.9195,                 2.4858,                 2.0065,               0.009604,               0.009604,               0.009604
                     14,                 1.7475,                 2.4802,                 1.8209,                 0.5264,                 0.2971,                0.31124,                0.24397,                 1.9575,                 2.7406,                  2.083,               0.009571,               0.009571,               0.009571
                     15,                 1.7206,                 2.4417,                    1.8,                 0.4647,                0.34301,                0.32317,                0.27143,                 2.0253,                 2.5993,                  2.082,               0.009538,               0.009538,               0.009538
                     16,                 1.7161,                 2.4192,                 1.7922,                0.36647,                0.44081,                0.40084,                0.34826,                 1.8295,                 2.3782,                  1.938,               0.009505,               0.009505,               0.009505
                     17,                 1.6917,                 2.3356,                 1.7615,                 0.1926,                0.27383,                0.14268,                0.10345,                 2.2942,                  3.751,                  2.319,               0.009472,               0.009472,               0.009472
                     18,                 1.6877,                 2.3456,                  1.766,                0.46483,                0.43399,                0.43393,                0.38807,                  1.817,                 2.3344,                 1.9507,               0.009439,               0.009439,               0.009439
                     19,                 1.6602,                 2.3153,                 1.7397,                0.34802,                0.44416,                0.40388,                0.34712,                 1.8508,                 2.3305,                 1.9246,               0.009406,               0.009406,               0.009406
