                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.4325,                 1.7316,                   1.52,                0.58502,                0.56984,                 0.5826,                0.52989,                 1.6139,                  1.697,                 1.7203,               0.007228,               0.007228,               0.007228
                     86,                 1.4238,                 1.7112,                 1.5087,                0.56313,                0.58575,                0.57807,                0.52358,                 1.6321,                 1.7061,                 1.7257,               0.007195,               0.007195,               0.007195
                     87,                 1.4351,                 1.7425,                 1.5175,                0.58878,                0.57404,                0.58966,                0.53474,                 1.6177,                 1.7097,                 1.7173,               0.007162,               0.007162,               0.007162
                     88,                 1.4298,                 1.7022,                 1.5159,                0.62101,                0.54268,                0.57419,                0.52493,                 1.6158,                 1.6928,                 1.7165,               0.007129,               0.007129,               0.007129
                     89,                  1.415,                 1.7136,                 1.5039,                0.62101,                0.55813,                 0.5925,                0.53987,                 1.6105,                  1.692,                 1.7216,               0.007096,               0.007096,               0.007096
                     90,                 1.4174,                 1.6886,                 1.5051,                0.58392,                0.59701,                0.58731,                0.53042,                 1.6162,                 1.7069,                 1.7151,               0.007063,               0.007063,               0.007063
                     91,                 1.4144,                  1.703,                 1.5084,                0.60936,                0.56371,                0.58969,                0.54045,                 1.6005,                 1.6688,                  1.717,                0.00703,                0.00703,                0.00703
                     92,                 1.4058,                  1.684,                 1.4972,                0.61545,                0.56422,                0.59606,                0.54133,                 1.6253,                 1.6502,                 1.7246,               0.006997,               0.006997,               0.006997
                     93,                   1.42,                 1.6984,                  1.508,                0.61081,                 0.5871,                0.59857,                0.54292,                  1.639,                 1.6637,                 1.7332,               0.006964,               0.006964,               0.006964
                     94,                 1.4062,                 1.6792,                  1.492,                0.57637,                0.57783,                0.58466,                0.53303,                 1.5948,                 1.6683,                 1.6979,               0.006931,               0.006931,               0.006931
                     95,                 1.4144,                 1.6951,                 1.5053,                 0.6155,                0.55891,                0.57753,                0.52675,                 1.6256,                 1.6864,                 1.7202,               0.006898,               0.006898,               0.006898
                     96,                 1.4074,                 1.6792,                 1.5044,                0.60576,                0.57092,                0.58836,                0.53496,                 1.6269,                 1.6554,                 1.7265,               0.006865,               0.006865,               0.006865
                     97,                 1.3938,                 1.6622,                 1.4918,                0.59808,                0.56957,                0.58356,                  0.528,                 1.6141,                 1.6804,                 1.7273,               0.006832,               0.006832,               0.006832
                     98,                 1.4016,                 1.6805,                 1.5022,                0.64108,                0.53599,                0.60293,                0.55335,                 1.5897,                 1.6454,                 1.6917,               0.006799,               0.006799,               0.006799
                     99,                   1.42,                 1.6717,                 1.5085,                0.62385,                0.56008,                0.60422,                 0.5529,                 1.6032,                 1.6362,                 1.7274,               0.006766,               0.006766,               0.006766
                    100,                 1.4062,                 1.6726,                 1.4941,                0.63365,                0.56502,                0.61085,                0.55522,                 1.6477,                 1.6389,                 1.7241,               0.006733,               0.006733,               0.006733
                    101,                 1.3663,                 1.6204,                 1.4781,                0.62317,                0.57455,                0.60657,                0.55357,                 1.6019,                 1.6284,                 1.7066,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.3951,                 1.6565,                 1.4918,                0.57279,                0.58208,                0.61111,                0.55395,                 1.6149,                 1.6617,                 1.7079,               0.006667,               0.006667,               0.006667
                    103,                 1.3917,                 1.6747,                 1.5005,                0.61447,                0.58621,                0.61598,                0.56106,                 1.6153,                  1.641,                 1.7104,               0.006634,               0.006634,               0.006634
                    104,                 1.3938,                 1.6421,                 1.4977,                0.62432,                0.58414,                0.61733,                0.56715,                 1.5999,                 1.6206,                  1.717,               0.006601,               0.006601,               0.006601
                    105,                 1.4023,                  1.657,                 1.4876,                0.57184,                0.59931,                0.60408,                0.55574,                 1.5932,                 1.6232,                 1.6946,               0.006568,               0.006568,               0.006568
                    106,                 1.3903,                 1.6347,                 1.4901,                0.60226,                0.56743,                0.60934,                0.56103,                 1.6029,                 1.6266,                 1.7048,               0.006535,               0.006535,               0.006535
                    107,                 1.3818,                  1.621,                 1.4891,                0.61277,                0.58083,                 0.6171,                0.56184,                 1.5996,                  1.613,                 1.7051,               0.006502,               0.006502,               0.006502
                    108,                 1.3776,                  1.602,                 1.4816,                0.58563,                0.60904,                0.62009,                0.56874,                 1.5852,                 1.5911,                 1.6934,               0.006469,               0.006469,               0.006469
                    109,                  1.396,                 1.6322,                 1.4906,                 0.5643,                0.60986,                 0.6188,                0.56577,                 1.5915,                 1.5914,                 1.6949,               0.006436,               0.006436,               0.006436
